1,"AA","Afar"
2,"AB","Abhkazian"
3,"AF","Afrikaans"
4,"AM","Amarico"
5,"AR","Árabe"
6,"AS","Assames"
7,"AY","Aimara"
8,"AZ","Azerbaidjano"
9,"BA","Bashquir"
10,"BB","Berbere"
11,"BC","Baluchi"
12,"BE","Bielo-Russo"
13,"BG","Búlgaro"
14,"BH","Bihari"
15,"BI","Bislama"
16,"BM","Birmanês"
17,"BN","Bengali"
18,"BO","Tibetano"
19,"BR","Bretão"
20,"CA","Catalão"
21,"CB","Cabie"
22,"CO","Corsico"
23,"CR","Crioulo"
24,"CS","Tcheco-Eslovaco"
25,"CY","Galês"
26,"DA","Dinamarquês"
27,"DE","Alemão"
28,"DI","Divehi"
29,"DZ","Dzongka"
30,"EE","Eue"
31,"EL","Grego"
32,"EN","Inglês"
33,"EO","Esperanto"
34,"ES","Espanhol"
35,"ET","Estoniano"
36,"EU","Basco"
37,"FA","Persa"
38,"FI","Finlandês"
39,"FJ","Fijiano"
40,"FL","Filipino"
41,"FO","Feróico"
42,"FR","Francês"
43,"FY","Erisão"
44,"GA","Irlandês"
45,"GD","Gaelico Escocês"
46,"GL","Galego"
47,"GN","Guarani"
48,"GU","Gujarati"
49,"HA","Hausa"
50,"HI","Hindi"
51,"HR","Croata"
52,"HU","Húngaro"
53,"HY","Harmênio"
54,"IA","Interlíngua"
55,"ID","Ioma"
56,"IE","Interlíngue"
57,"IK","Inupiak"
58,"IN","Indonésio"
59,"IS","Islandês"
60,"IT","Italiano"
61,"IW","Hebraico"
62,"JA","Japonês"
63,"JI","Iidiche"
64,"JV","Javanês"
65,"KA","Georgiano"
66,"KK","Casaque"
67,"KL","Groenlandês"
68,"KM","Cambodjano"
69,"KN","Canadá"
70,"KO","Coreano"
71,"KS","Cachemiriano"
72,"KU","Curdo"
73,"KY","Quirquiz"
74,"LA","Latim"
75,"LN","Lingála"
76,"LO","Laosiano"
77,"LP","Lapão"
78,"LT","Lituano"
79,"LV","Letão"
80,"LX","Luxemburguês"
81,"MA","Mandingo"
82,"MG","Malgaxe"
83,"MI","Maori"
84,"MK","Macedônio"
85,"ML","Malaiala"
86,"MN","Mongol"
87,"MO","Moldavio"
88,"MR","Maratí"
89,"MS","Malaio"
90,"MT","Maltês"
91,"MY","Sirmanês"
92,"NA","Nauruano"
93,"NE","Nepali"
94,"NL","Holandês"
95,"NO","Norueguês"
96,"OM","Oromo"
97,"OR","Oria"
98,"OU","Outros"
99,"PA","Punjabi"
100,"PL","Polonês"
101,"PS","Pushto"
102,"PT","Português"
103,"QI","Quisuahili"
104,"QU","Quichua"
105,"RM","Reto-Romano"
106,"RN","Quirundi"
107,"RO","Romeno"
108,"RU","Russo"
109,"RW","Quiniaruanda"
110,"SA","Sanscrito"
111,"SD","Sindi"
112,"SG","Sango"
113,"SH","Servo-Croata"
114,"SI","Cingalês"
115,"SK","Eslovaco"
116,"SL","Esloveno"
117,"SM","Samoano"
118,"SN","Shona"
119,"SO","Somali"
120,"SQ","Albanês"
121,"SR","Serbian"
122,"SS","Sisvati"
123,"ST","Sesoto"
124,"SU","Sudanês"
125,"SV","Suéco"
126,"SW","Suaili"
127,"TA","Tamil"
128,"TE","Telugo"
129,"TG","Tadjique"
130,"TH","Tai"
131,"TI","Tigrina"
132,"TK","Turcomano"
133,"TL","Talagog"
134,"TN","Setsuana"
135,"TO","Tongalês"
136,"TR","Turco"
137,"TS","Tsonga"
138,"TT","Tatar"
139,"TU","Tuvaloano"
140,"TW","Tui"
141,"UK","Ucraniâno"
142,"UR","Urdu"
143,"UZ","Uzbeco"
144,"VI","Vietnamita"
145,"VO","Volupak"
146,"WO","Wolof"
147,"XH","Xosa"
148,"YO","Yoruba"
149,"ZH","Chinês"
150,"ZU","Zulú"
