1,"Madeira-Guaporé","RO"
2,"Leste Rondoniense","RO"
3,"Vale do Juruá","AC"
4,"Vale do Acre","AC"
5,"Norte Amazonense","AM"
6,"Sudoeste Amazonense","AM"
7,"Centro Amazonense","AM"
8,"Sul Amazonense","AM"
9,"Norte de Roraima","RR"
10,"Sul de Roraima","RR"
11,"Baixo Amazonas","PA"
12,"Marajó","PA"
13,"Metropolitana de Belém","PA"
14,"Nordeste Paraense","PA"
15,"Sudoeste Paraense","PA"
16,"Sudeste Paraense","PA"
17,"Norte do Amapá","AP"
18,"Sul do Amapá","AP"
19,"Ocidental do Tocantins","TO"
20,"Oriental do Tocantins","TO"
21,"Norte Maranhense","MA"
22,"Oeste Maranhense","MA"
23,"Centro Maranhense","MA"
24,"Leste Maranhense","MA"
25,"Sul Maranhense","MA"
26,"Norte Piauiense","PI"
27,"Centro-Norte Piauiense","PI"
28,"Sudoeste Piauiense","PI"
29,"Sudeste Piauiense","PI"
30,"Noroeste Cearense","CE"
31,"Norte Cearense","CE"
32,"Metropolitana de Fortaleza","CE"
33,"Sertões Cearenses","CE"
34,"Jaguaribe","CE"
35,"Centro-Sul Cearense","CE"
36,"Sul Cearense","CE"
37,"Oeste Potiguar","RN"
38,"Central Potiguar","RN"
39,"Agreste Potiguar","RN"
40,"Leste Potiguar","RN"
41,"Sertão Paraibano","PB"
42,"Borborema","PB"
43,"Agreste Paraibano","PB"
44,"Mata Paraibana","PB"
45,"Sertão Pernambucano","PE"
46,"São Francisco Pernambucano","PE"
47,"Agreste Pernambucano","PE"
48,"Mata Pernambucana","PE"
49,"Metropolitana de Recife","PE"
50,"Sertão Alagoano","AL"
51,"Agreste Alagoano","AL"
52,"Leste Alagoano","AL"
53,"Sertão Sergipano","SE"
54,"Agreste Sergipano","SE"
55,"Leste Sergipano","SE"
56,"Extremo Oeste Baiano","BA"
57,"Vale São-Franciscano da Bahia","BA"
58,"Centro Norte Baiano","BA"
59,"Nordeste Baiano","BA"
60,"Metropolitana de Salvador","BA"
61,"Centro Sul Baiano","BA"
62,"Sul Baiano","BA"
63,"Noroeste de Minas","MG"
64,"Norte de Minas","MG"
65,"Jequitinhonha","MG"
66,"Vale do Mucuri","MG"
67,"Triângulo Mineiro/Alto Paranaíba","MG"
68,"Central Mineira","MG"
69,"Metropolitana de Belo Horizonte","MG"
70,"Vale do Rio Doce","MG"
71,"Oeste de Minas","MG"
72,"Sul/Sudoeste de Minas","MG"
73,"Campo das Vertentes","MG"
74,"Zona da Mata","MG"
75,"Noroeste Espírito-santense","ES"
76,"Litoral Norte Espírito-santense","ES"
77,"Central Espírito-santense","ES"
78,"Sul Espírito-santense","ES"
79,"Noroeste Fluminense","RJ"
80,"Norte Fluminense","RJ"
81,"Centro Fluminense","RJ"
82,"Baixadas","RJ"
83,"Sul Fluminense","RJ"
84,"Metropolitana do Rio de Janeiro","RJ"
85,"São José do Rio Preto","SP"
86,"Ribeirão Preto","SP"
87,"Araçatuba","SP"
88,"Bauru","SP"
89,"Araraquara","SP"
90,"Piracicaba","SP"
91,"Campinas","SP"
92,"Presidente Prudente","SP"
93,"Marília","SP"
94,"Assis","SP"
95,"Itapetininga","SP"
96,"Macro Metropolitana Paulista","SP"
97,"Vale do Paraíba Paulista","SP"
98,"Litoral Sul Paulista","SP"
99,"Metropolitana de São Paulo","SP"
100,"Noroeste Paranaense","PR"
101,"Centro Ocidental Paranaense","PR"
102,"Norte Central Paranaense","PR"
103,"Norte Pioneiro Paranaense","PR"
104,"Centro Oriental Paranaense","PR"
105,"Oeste Paranaense","PR"
106,"Sudoeste Paranaense","PR"
107,"Centro-Sul Paranaense","PR"
108,"Sudeste Paranaense","PR"
109,"Metropolitana de Curitiba","PR"
110,"Oeste Catarinense","SC"
111,"Norte Catarinense","SC"
112,"Serrana","SC"
113,"Vale do Itajaí","SC"
114,"Grande Florianópolis","SC"
115,"Sul Catarinense","SC"
116,"Noroeste Rio-grandense","RS"
117,"Nordeste Rio-grandense","RS"
118,"Centro Ocidental Rio-grandense","RS"
119,"Centro Oriental Rio-grandense","RS"
120,"Metropolitana de Porto Alegre","RS"
121,"Sudoeste Rio-grandense","RS"
122,"Sudeste Rio-grandense","RS"
123,"Pantanais Sul Mato-grossense","MS"
124,"Centro Norte de Mato Grosso do Sul","MS"
125,"Leste de Mato Grosso do Sul","MS"
126,"Sudoeste de Mato Grosso do Sul","MS"
127,"Norte Mato-grossense","MT"
128,"Nordeste Mato-grossense","MT"
129,"Sudoeste Mato-grossense","MT"
130,"Centro-Sul Mato-grossense","MT"
131,"Sudeste Mato-grossense","MT"
132,"Noroeste Goiano","GO"
133,"Norte Goiano","GO"
134,"Centro Goiano","GO"
135,"Leste Goiano","GO"
136,"Sul Goiano","GO"
137,"Distrito Federal","DF"
